Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CfgDataStore\CfgDataStore.csproj,File,CfgDataStore\CfgDataStore.csproj,,,Microsoft.EntityFrameworkCore 9.0.1,,,,,"Microsoft.EntityFrameworkCore, 9.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CfgDataStore\CfgDataStore.csproj,File,CfgDataStore\CfgDataStore.csproj,,,Microsoft.EntityFrameworkCore.Sqlite.Core 9.0.1,,,,,"Microsoft.EntityFrameworkCore.Sqlite.Core, 9.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite.Core, and replace with new package Microsoft.EntityFrameworkCore.Sqlite.Core 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CfgDataStore\CfgDataStore.csproj,File,CfgDataStore\CfgDataStore.csproj,,,,,,,,Current target framework: net8.0-windows7.0 Recommended target framework: net10.0--windows7.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CommandPrompt\CommandPrompt.csproj,File,CommandPrompt\CommandPrompt.csproj,,,Microsoft.Windows.Compatibility 9.0.1,,,,,"Microsoft.Windows.Compatibility, 9.0.1  Recommendation:  Remove Microsoft.Windows.Compatibility, and replace with new package Microsoft.Windows.Compatibility 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CommandPrompt\CommandPrompt.csproj,File,CommandPrompt\CommandPrompt.csproj,,,,,,,,Current target framework: net8.0-windows7.0 Recommended target framework: net10.0--windows7.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommandPrompt\CommandPrompt.csproj,File,CommandPrompt\InsertSnipitEventArgs.cs,9,40,T:System.Windows.Forms.KeyEventArgs,,,,,set;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommandPrompt\CommandPrompt.csproj,File,CommandPrompt\InsertSnipitEventArgs.cs,9,35,T:System.Windows.Forms.KeyEventArgs,,,,,get;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommandPrompt\CommandPrompt.csproj,File,CommandPrompt\InsertSnipitEventArgs.cs,9,8,T:System.Windows.Forms.KeyEventArgs,,,,,public KeyEventArgs Args
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommandPrompt\CommandPrompt.csproj,File,CommandPrompt\ExpandText.cs,98,12,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.Cancel;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommandPrompt\CommandPrompt.csproj,File,CommandPrompt\ExpandText.cs,98,12,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.Cancel;
